timestamp,period,result,size,color
2026-04-14 10:33:49,20260414100050108,6,Big,Red
2026-04-14 10:33:49,20260414100050109,7,Big,Green
2026-04-14 10:33:49,20260414100050110,8,Big,Red
2026-04-14 10:33:49,20260414100050111,5,Big,Green+Violet
2026-04-14 10:33:49,20260414100050112,3,Small,Green
2026-04-14 10:33:49,20260414100050113,0,Small,Red+Violet
2026-04-14 10:33:49,20260414100050114,5,Big,Green+Violet
2026-04-14 10:33:49,20260414100050115,6,Big,Red
2026-04-14 10:33:49,20260414100050116,6,Big,Red
2026-04-14 10:33:49,20260414100050117,2,Small,Red
2026-04-14 10:33:48,20260414100050118,5,Big,Green+Violet
2026-04-14 10:33:48,20260414100050119,1,Small,Green
2026-04-14 10:33:48,20260414100050120,1,Small,Green
2026-04-14 10:33:48,20260414100050121,2,Small,Red
2026-04-14 10:33:48,20260414100050122,3,Small,Green
2026-04-14 10:33:48,20260414100050123,9,Big,Green
2026-04-14 10:33:48,20260414100050124,5,Big,Green+Violet
2026-04-14 10:33:48,20260414100050125,2,Small,Red
2026-04-14 10:33:48,20260414100050126,2,Small,Red
2026-04-14 10:33:48,20260414100050127,8,Big,Red
2026-04-14 10:33:46,20260414100050128,0,Small,Red+Violet
2026-04-14 10:33:46,20260414100050129,4,Small,Red
2026-04-14 10:33:46,20260414100050130,9,Big,Green
2026-04-14 10:33:46,20260414100050131,7,Big,Green
2026-04-14 10:33:46,20260414100050132,5,Big,Green+Violet
2026-04-14 10:33:46,20260414100050133,9,Big,Green
2026-04-14 10:33:46,20260414100050134,6,Big,Red
2026-04-14 10:33:46,20260414100050135,5,Big,Green+Violet
2026-04-14 10:33:46,20260414100050136,5,Big,Green+Violet
2026-04-14 10:33:46,20260414100050137,1,Small,Green
2026-04-14 10:33:45,20260414100050138,7,Big,Green
2026-04-14 10:33:45,20260414100050139,5,Big,Green+Violet
2026-04-14 10:33:45,20260414100050140,5,Big,Green+Violet
2026-04-14 10:33:45,20260414100050141,1,Small,Green
2026-04-14 10:33:45,20260414100050142,2,Small,Red
2026-04-14 10:33:45,20260414100050143,3,Small,Green
2026-04-14 10:33:45,20260414100050144,5,Big,Green+Violet
2026-04-14 10:33:45,20260414100050145,8,Big,Red
2026-04-14 10:33:45,20260414100050146,9,Big,Green
2026-04-14 10:33:45,20260414100050147,2,Small,Red
2026-04-14 10:33:43,20260414100050148,1,Small,Green
2026-04-14 10:33:43,20260414100050149,2,Small,Red
2026-04-14 10:33:43,20260414100050150,2,Small,Red
2026-04-14 10:33:43,20260414100050151,3,Small,Green
2026-04-14 10:33:43,20260414100050152,4,Small,Red
2026-04-14 10:33:43,20260414100050153,1,Small,Green
2026-04-14 10:33:43,20260414100050154,6,Big,Red
2026-04-14 10:33:43,20260414100050155,2,Small,Red
2026-04-14 10:33:43,20260414100050156,7,Big,Green
2026-04-14 10:33:43,20260414100050157,8,Big,Red
2026-04-14 10:33:42,20260414100050158,3,Small,Green
2026-04-14 10:33:42,20260414100050159,8,Big,Red
2026-04-14 10:33:42,20260414100050160,4,Small,Red
2026-04-14 10:33:42,20260414100050161,5,Big,Green+Violet
2026-04-14 10:33:42,20260414100050162,1,Small,Green
2026-04-14 10:33:42,20260414100050163,4,Small,Red
2026-04-14 10:33:42,20260414100050164,2,Small,Red
2026-04-14 10:33:42,20260414100050165,1,Small,Green
2026-04-14 10:33:42,20260414100050166,5,Big,Green+Violet
2026-04-14 10:33:42,20260414100050167,3,Small,Green
2026-04-14 10:33:40,20260414100050168,3,Small,Green
2026-04-14 10:33:40,20260414100050169,9,Big,Green
2026-04-14 10:33:40,20260414100050170,5,Big,Green+Violet
2026-04-14 10:33:40,20260414100050171,3,Small,Green
2026-04-14 10:33:40,20260414100050172,6,Big,Red
2026-04-14 10:33:40,20260414100050173,8,Big,Red
2026-04-14 10:33:40,20260414100050174,8,Big,Red
2026-04-14 10:33:40,20260414100050175,1,Small,Green
2026-04-14 10:33:40,20260414100050176,1,Small,Green
2026-04-14 10:33:40,20260414100050177,6,Big,Red
2026-04-14 10:33:39,20260414100050178,5,Big,Green+Violet
2026-04-14 10:33:39,20260414100050179,4,Small,Red
2026-04-14 10:33:39,20260414100050180,5,Big,Green+Violet
2026-04-14 10:33:39,20260414100050181,8,Big,Red
2026-04-14 10:33:39,20260414100050182,1,Small,Green
2026-04-14 10:33:39,20260414100050183,4,Small,Red
2026-04-14 10:33:39,20260414100050184,8,Big,Red
2026-04-14 10:33:39,20260414100050185,5,Big,Green+Violet
2026-04-14 10:33:39,20260414100050186,5,Big,Green+Violet
2026-04-14 10:33:39,20260414100050187,7,Big,Green
2026-04-14 10:33:37,20260414100050188,8,Big,Red
2026-04-14 10:33:37,20260414100050189,7,Big,Green
2026-04-14 10:33:37,20260414100050190,9,Big,Green
2026-04-14 10:33:37,20260414100050191,6,Big,Red
2026-04-14 10:20:27,20260414100050192,8,Big,Red
2026-04-14 10:20:27,20260414100050193,5,Big,Green+Violet
2026-04-14 10:20:27,20260414100050194,6,Big,Red
2026-04-14 10:20:27,20260414100050195,6,Big,Red
2026-04-14 10:20:27,20260414100050196,5,Big,Green+Violet
2026-04-14 10:20:27,20260414100050197,2,Small,Red
2026-04-14 10:20:27,20260414100050198,3,Small,Green
2026-04-14 10:20:27,20260414100050199,1,Small,Green
2026-04-14 10:20:27,20260414100050200,0,Small,Red+Violet
2026-04-14 10:20:25,20260414100050201,4,Small,Red
2026-04-14 10:20:25,20260414100050202,5,Big,Green+Violet
2026-04-14 10:20:25,20260414100050203,6,Big,Red
2026-04-14 10:20:25,20260414100050204,2,Small,Red
2026-04-14 10:20:25,20260414100050205,5,Big,Green+Violet
2026-04-14 10:20:25,20260414100050206,2,Small,Red
2026-04-14 10:20:25,20260414100050207,0,Small,Red+Violet
2026-04-14 10:20:25,20260414100050208,8,Big,Red
2026-04-14 10:20:25,20260414100050209,5,Big,Green+Violet
2026-04-14 10:20:25,20260414100050210,8,Big,Red
2026-04-14 10:20:23,20260414100050211,8,Big,Red
2026-04-14 10:15:26,20260414100050212,5,Big,Green+Violet
2026-04-14 10:15:26,20260414100050213,2,Small,Red
2026-04-14 10:15:26,20260414100050214,7,Big,Green
2026-04-14 10:15:26,20260414100050215,0,Small,Red+Violet
2026-04-14 10:15:26,20260414100050216,3,Small,Green
2026-04-14 10:15:26,20260414100050217,6,Big,Red
2026-04-14 10:15:26,20260414100050218,5,Big,Green+Violet
2026-04-14 10:15:26,20260414100050219,9,Big,Green
2026-04-14 10:15:26,20260414100050220,4,Small,Red
2026-04-14 10:15:24,20260414100050221,7,Big,Green
2026-04-14 10:15:24,20260414100050222,0,Small,Red+Violet
2026-04-14 10:15:24,20260414100050223,3,Small,Green
2026-04-14 10:15:24,20260414100050224,8,Big,Red
2026-04-14 10:15:24,20260414100050225,4,Small,Red
2026-04-14 10:15:24,20260414100050226,8,Big,Red
2026-04-14 10:15:24,20260414100050227,5,Big,Green+Violet
2026-04-14 10:15:24,20260414100050228,8,Big,Red
2026-04-14 10:15:24,20260414100050229,6,Big,Red
2026-04-14 10:15:24,20260414100050230,1,Small,Green
2026-04-14 10:15:23,20260414100050231,3,Small,Green
2026-04-14 10:15:23,20260414100050232,8,Big,Red
2026-04-14 10:15:23,20260414100050233,3,Small,Green
2026-04-14 10:15:23,20260414100050234,8,Big,Red
2026-04-14 10:15:23,20260414100050235,0,Small,Red+Violet
2026-04-14 10:15:23,20260414100050236,1,Small,Green
2026-04-14 10:15:23,20260414100050237,7,Big,Green
2026-04-14 10:15:23,20260414100050238,9,Big,Green
2026-04-14 10:15:23,20260414100050239,8,Big,Red
2026-04-14 10:15:23,20260414100050240,3,Small,Green
2026-04-14 10:16:25,20260414100050241,8,Big,Red
2026-04-14 10:16:25,20260414100050242,4,Small,Red
2026-04-14 10:16:23,20260414100050243,1,Small,Green
2026-04-14 10:16:23,20260414100050244,3,Small,Green
2026-04-14 10:16:23,20260414100050245,2,Small,Red
2026-04-14 10:16:23,20260414100050246,6,Big,Red
2026-04-14 10:16:23,20260414100050247,8,Big,Red
2026-04-14 10:16:23,20260414100050248,1,Small,Green
2026-04-14 10:16:23,20260414100050249,5,Big,Green+Violet
2026-04-14 10:16:23,20260414100050250,3,Small,Green
2026-04-14 10:16:23,20260414100050251,7,Big,Green
2026-04-14 10:16:23,20260414100050252,7,Big,Green
2026-04-14 10:16:22,20260414100050253,2,Small,Red
2026-04-14 10:16:22,20260414100050254,4,Small,Red
2026-04-14 10:16:22,20260414100050255,1,Small,Green
2026-04-14 10:16:22,20260414100050256,4,Small,Red
2026-04-14 10:16:22,20260414100050257,0,Small,Red+Violet
2026-04-14 10:16:22,20260414100050258,4,Small,Red
2026-04-14 10:16:22,20260414100050259,8,Big,Red
2026-04-14 10:16:22,20260414100050260,3,Small,Green
2026-04-14 10:16:22,20260414100050261,5,Big,Green+Violet
2026-04-14 10:16:22,20260414100050262,0,Small,Red+Violet
2026-04-14 10:16:20,20260414100050263,9,Big,Green
2026-04-14 10:16:20,20260414100050264,4,Small,Red
2026-04-14 10:16:20,20260414100050265,3,Small,Green
2026-04-14 10:16:20,20260414100050266,7,Big,Green
2026-04-14 10:16:20,20260414100050267,1,Small,Green
2026-04-14 10:16:20,20260414100050268,7,Big,Green
2026-04-14 10:16:20,20260414100050269,5,Big,Green+Violet
2026-04-14 10:16:20,20260414100050270,0,Small,Red+Violet
2026-04-14 10:15:17,20260414100050271,9,Big,Green
2026-04-14 10:15:17,20260414100050272,1,Small,Green
2026-04-14 10:15:17,20260414100050273,2,Small,Red
2026-04-14 10:15:17,20260414100050274,0,Small,Red+Violet
2026-04-14 10:15:17,20260414100050275,7,Big,Green
2026-04-14 10:15:17,20260414100050276,4,Small,Red
2026-04-14 10:15:17,20260414100050277,6,Big,Red
2026-04-14 10:15:17,20260414100050278,8,Big,Red
2026-04-14 10:15:17,20260414100050279,9,Big,Green
2026-04-14 10:15:17,20260414100050280,0,Small,Red+Violet
2026-04-14 10:15:15,20260414100050281,1,Small,Green
2026-04-14 10:15:15,20260414100050282,5,Big,Green+Violet
2026-04-14 10:15:15,20260414100050283,4,Small,Red
2026-04-14 10:15:15,20260414100050284,7,Big,Green
2026-04-14 10:15:15,20260414100050285,2,Small,Red
2026-04-14 10:15:15,20260414100050286,3,Small,Green
2026-04-14 10:15:15,20260414100050287,3,Small,Green
2026-04-14 10:15:15,20260414100050288,5,Big,Green+Violet
2026-04-14 10:15:15,20260414100050289,5,Big,Green+Violet
2026-04-14 10:15:15,20260414100050290,8,Big,Red
2026-04-14 10:16:17,20260414100050291,3,Small,Green
2026-04-14 10:16:17,20260414100050292,1,Small,Green
2026-04-14 10:16:15,20260414100050293,0,Small,Red+Violet
2026-04-14 10:16:15,20260414100050294,7,Big,Green
2026-04-14 10:16:15,20260414100050295,1,Small,Green
2026-04-14 10:16:15,20260414100050296,2,Small,Red
2026-04-14 10:16:15,20260414100050297,8,Big,Red
2026-04-14 10:16:15,20260414100050298,1,Small,Green
2026-04-14 10:16:15,20260414100050299,1,Small,Green
2026-04-14 10:16:15,20260414100050300,5,Big,Green+Violet
2026-04-14 10:16:15,20260414100050301,0,Small,Red+Violet
2026-04-14 10:16:15,20260414100050302,4,Small,Red
2026-04-14 10:16:14,20260414100050303,8,Big,Red
2026-04-14 10:16:14,20260414100050304,1,Small,Green
2026-04-14 10:16:14,20260414100050305,0,Small,Red+Violet
2026-04-14 10:16:14,20260414100050306,4,Small,Red
2026-04-14 10:16:14,20260414100050307,6,Big,Red
2026-04-14 10:16:14,20260414100050308,4,Small,Red
2026-04-14 10:16:14,20260414100050309,6,Big,Red
2026-04-14 10:16:14,20260414100050310,8,Big,Red
2026-04-14 10:15:11,20260414100050311,1,Small,Green
2026-04-14 10:15:11,20260414100050312,9,Big,Green
2026-04-14 10:15:11,20260414100050313,9,Big,Green
2026-04-14 10:15:11,20260414100050314,8,Big,Red
2026-04-14 10:15:11,20260414100050315,2,Small,Red
2026-04-14 10:15:11,20260414100050316,5,Big,Green+Violet
2026-04-14 10:15:11,20260414100050317,9,Big,Green
2026-04-14 10:15:11,20260414100050318,6,Big,Red
2026-04-14 10:15:11,20260414100050319,7,Big,Green
2026-04-14 10:15:11,20260414100050320,6,Big,Red
2026-04-14 10:16:12,20260414100050321,8,Big,Red
2026-04-14 10:16:12,20260414100050322,5,Big,Green+Violet
2026-04-14 10:16:11,20260414100050323,7,Big,Green
2026-04-14 10:16:11,20260414100050324,8,Big,Red
2026-04-14 10:16:11,20260414100050325,2,Small,Red
2026-04-14 10:16:11,20260414100050326,8,Big,Red
2026-04-14 10:16:11,20260414100050327,7,Big,Green
2026-04-14 10:16:11,20260414100050328,8,Big,Red
2026-04-14 10:16:11,20260414100050329,0,Small,Red+Violet
2026-04-14 10:16:11,20260414100050330,4,Small,Red
2026-04-14 10:16:11,20260414100050331,2,Small,Red
2026-04-14 10:16:11,20260414100050332,9,Big,Green
2026-04-14 10:16:09,20260414100050333,0,Small,Red+Violet
2026-04-14 10:16:09,20260414100050334,1,Small,Green
2026-04-14 10:16:09,20260414100050335,1,Small,Green
2026-04-14 10:16:09,20260414100050336,3,Small,Green
2026-04-14 10:16:09,20260414100050337,7,Big,Green
2026-04-14 10:16:09,20260414100050338,2,Small,Red
2026-04-14 10:16:09,20260414100050339,8,Big,Red
2026-04-14 10:16:09,20260414100050340,1,Small,Green
2026-04-14 10:16:09,20260414100050341,9,Big,Green
2026-04-14 10:16:09,20260414100050342,5,Big,Green+Violet
2026-04-14 10:16:08,20260414100050343,2,Small,Red
2026-04-14 10:16:08,20260414100050344,7,Big,Green
2026-04-14 10:16:08,20260414100050345,0,Small,Red+Violet
2026-04-14 10:16:08,20260414100050346,0,Small,Red+Violet
2026-04-14 10:16:08,20260414100050347,5,Big,Green+Violet
2026-04-14 10:16:08,20260414100050348,5,Big,Green+Violet
2026-04-14 10:16:08,20260414100050349,4,Small,Red
2026-04-14 10:16:08,20260414100050350,8,Big,Red
2026-04-14 10:15:04,20260414100050351,5,Big,Green+Violet
2026-04-14 10:15:04,20260414100050352,4,Small,Red
2026-04-14 10:15:04,20260414100050353,1,Small,Green
2026-04-14 10:15:04,20260414100050354,6,Big,Red
2026-04-14 10:15:04,20260414100050355,0,Small,Red+Violet
2026-04-14 10:15:04,20260414100050356,7,Big,Green
2026-04-14 10:15:04,20260414100050357,1,Small,Green
2026-04-14 10:15:04,20260414100050358,3,Small,Green
2026-04-14 10:15:04,20260414100050359,7,Big,Green
2026-04-14 10:15:04,20260414100050360,9,Big,Green
2026-04-14 10:15:03,20260414100050361,4,Small,Red
2026-04-14 10:15:03,20260414100050362,1,Small,Green
2026-04-14 10:15:03,20260414100050363,2,Small,Red
2026-04-14 10:15:03,20260414100050364,1,Small,Green
2026-04-14 10:15:03,20260414100050365,4,Small,Red
2026-04-14 10:15:03,20260414100050366,8,Big,Red
2026-04-14 10:15:03,20260414100050367,7,Big,Green
2026-04-14 10:15:03,20260414100050368,0,Small,Red+Violet
2026-04-14 10:15:03,20260414100050369,9,Big,Green
2026-04-14 10:15:03,20260414100050370,9,Big,Green
2026-04-14 10:15:01,20260414100050371,3,Small,Green
2026-04-14 10:15:01,20260414100050372,9,Big,Green
2026-04-14 10:15:01,20260414100050373,7,Big,Green
2026-04-14 10:15:01,20260414100050374,5,Big,Green+Violet
2026-04-14 10:15:01,20260414100050375,1,Small,Green
2026-04-14 10:15:01,20260414100050376,8,Big,Red
2026-04-14 10:15:01,20260414100050377,9,Big,Green
2026-04-14 10:15:01,20260414100050378,1,Small,Green
2026-04-14 10:15:01,20260414100050379,6,Big,Red
2026-04-14 10:15:01,20260414100050380,6,Big,Red
2026-04-14 10:15:00,20260414100050381,6,Big,Red
2026-04-14 10:15:00,20260414100050382,8,Big,Red
2026-04-14 10:15:00,20260414100050383,3,Small,Green
2026-04-14 10:15:00,20260414100050384,0,Small,Red+Violet
2026-04-14 10:15:00,20260414100050385,8,Big,Red
2026-04-14 10:15:00,20260414100050386,6,Big,Red
2026-04-14 10:15:00,20260414100050387,4,Small,Red
2026-04-14 10:15:00,20260414100050388,8,Big,Red
2026-04-14 10:15:00,20260414100050389,9,Big,Green
2026-04-14 10:15:00,20260414100050390,5,Big,Green+Violet
2026-04-14 10:14:58,20260414100050391,8,Big,Red
2026-04-14 10:14:58,20260414100050392,0,Small,Red+Violet
2026-04-14 10:14:58,20260414100050393,6,Big,Red
2026-04-14 10:14:58,20260414100050394,6,Big,Red
2026-04-14 10:14:58,20260414100050395,8,Big,Red
2026-04-14 10:14:58,20260414100050396,3,Small,Green
2026-04-14 10:14:58,20260414100050397,2,Small,Red
2026-04-14 10:14:58,20260414100050398,8,Big,Red
2026-04-14 10:14:58,20260414100050399,5,Big,Green+Violet
2026-04-14 10:14:58,20260414100050400,2,Small,Red
2026-04-14 10:14:57,20260414100050401,4,Small,Red
2026-04-14 10:14:57,20260414100050402,7,Big,Green
2026-04-14 10:14:57,20260414100050403,9,Big,Green
2026-04-14 10:14:57,20260414100050404,3,Small,Green
2026-04-14 10:14:57,20260414100050405,1,Small,Green
2026-04-14 10:14:57,20260414100050406,0,Small,Red+Violet
2026-04-14 10:14:57,20260414100050407,3,Small,Green
2026-04-14 10:14:57,20260414100050408,8,Big,Red
2026-04-14 10:14:57,20260414100050409,9,Big,Green
2026-04-14 10:14:55,20260414100050410,0,Small,Red+Violet
2026-04-14 10:14:55,20260414100050411,0,Small,Red+Violet
2026-04-14 10:14:55,20260414100050412,1,Small,Green
2026-04-14 10:14:55,20260414100050413,7,Big,Green
2026-04-14 10:14:55,20260414100050414,0,Small,Red+Violet
2026-04-14 10:14:55,20260414100050415,2,Small,Red
2026-04-14 10:14:55,20260414100050416,8,Big,Red
2026-04-14 10:14:55,20260414100050417,0,Small,Red+Violet
2026-04-14 10:14:55,20260414100050418,2,Small,Red
2026-04-14 10:14:55,20260414100050419,1,Small,Green
2026-04-14 10:14:54,20260414100050420,0,Small,Red+Violet
2026-04-14 10:14:54,20260414100050421,2,Small,Red
2026-04-14 10:14:54,20260414100050422,9,Big,Green
2026-04-14 10:14:54,20260414100050423,2,Small,Red
2026-04-14 10:14:54,20260414100050424,9,Big,Green
2026-04-14 10:14:54,20260414100050425,8,Big,Red
2026-04-14 10:14:54,20260414100050426,7,Big,Green
2026-04-14 10:14:54,20260414100050427,6,Big,Red
2026-04-14 10:14:54,20260414100050428,3,Small,Green
2026-04-14 10:14:54,20260414100050429,7,Big,Green
2026-04-14 10:14:52,20260414100050430,8,Big,Red
2026-04-14 10:14:52,20260414100050431,6,Big,Red
2026-04-14 10:14:52,20260414100050432,3,Small,Green
2026-04-14 10:14:52,20260414100050433,7,Big,Green
2026-04-14 10:14:52,20260414100050434,4,Small,Red
2026-04-14 10:14:52,20260414100050435,7,Big,Green
2026-04-14 10:14:52,20260414100050436,8,Big,Red
2026-04-14 10:14:52,20260414100050437,8,Big,Red
2026-04-14 10:14:52,20260414100050438,0,Small,Red+Violet
2026-04-14 10:14:52,20260414100050439,1,Small,Green
2026-04-14 10:14:51,20260414100050440,9,Big,Green
2026-04-14 10:14:51,20260414100050441,9,Big,Green
2026-04-14 10:14:51,20260414100050442,0,Small,Red+Violet
2026-04-14 10:14:51,20260414100050443,5,Big,Green+Violet
2026-04-14 10:14:51,20260414100050444,3,Small,Green
2026-04-14 10:14:51,20260414100050445,6,Big,Red
2026-04-14 10:14:51,20260414100050446,7,Big,Green
2026-04-14 10:14:51,20260414100050447,1,Small,Green
2026-04-14 10:14:51,20260414100050448,2,Small,Red
2026-04-14 10:14:51,20260414100050449,2,Small,Red
2026-04-14 10:14:49,20260414100050450,6,Big,Red
2026-04-14 10:14:49,20260414100050451,9,Big,Green
2026-04-14 10:14:49,20260414100050452,1,Small,Green
2026-04-14 10:14:49,20260414100050453,5,Big,Green+Violet
2026-04-14 10:14:49,20260414100050454,3,Small,Green
2026-04-14 10:14:49,20260414100050455,8,Big,Red
2026-04-14 10:14:49,20260414100050456,1,Small,Green
2026-04-14 10:14:49,20260414100050457,7,Big,Green
2026-04-14 10:14:49,20260414100050458,7,Big,Green
2026-04-14 10:14:49,20260414100050459,3,Small,Green
2026-04-14 10:14:47,20260414100050460,2,Small,Red
2026-04-14 10:14:47,20260414100050461,6,Big,Red
2026-04-14 10:14:47,20260414100050462,9,Big,Green
2026-04-14 10:14:47,20260414100050463,1,Small,Green
2026-04-14 10:14:47,20260414100050464,2,Small,Red
2026-04-14 10:14:47,20260414100050465,1,Small,Green
2026-04-14 10:14:47,20260414100050466,2,Small,Red
2026-04-14 10:14:47,20260414100050467,1,Small,Green
2026-04-14 10:14:47,20260414100050468,3,Small,Green
2026-04-14 10:14:47,20260414100050469,6,Big,Red
2026-04-14 10:14:46,20260414100050470,5,Big,Green+Violet
2026-04-14 10:14:46,20260414100050471,8,Big,Red
2026-04-14 10:14:46,20260414100050472,1,Small,Green
2026-04-14 10:14:46,20260414100050473,3,Small,Green
2026-04-14 10:14:46,20260414100050474,1,Small,Green
2026-04-14 10:14:46,20260414100050475,2,Small,Red
2026-04-14 10:14:46,20260414100050476,2,Small,Red
2026-04-14 10:14:46,20260414100050477,7,Big,Green
2026-04-14 10:14:46,20260414100050478,0,Small,Red+Violet
2026-04-14 10:14:46,20260414100050479,5,Big,Green+Violet
2026-04-14 10:14:44,20260414100050480,8,Big,Red
2026-04-14 10:14:44,20260414100050481,1,Small,Green
2026-04-14 10:14:44,20260414100050482,9,Big,Green
2026-04-14 10:14:44,20260414100050483,1,Small,Green
2026-04-14 10:14:44,20260414100050484,2,Small,Red
2026-04-14 10:14:44,20260414100050485,3,Small,Green
2026-04-14 10:14:44,20260414100050486,7,Big,Green
2026-04-14 10:14:44,20260414100050487,7,Big,Green
2026-04-14 10:14:44,20260414100050488,9,Big,Green
2026-04-14 10:14:44,20260414100050489,7,Big,Green
2026-04-14 10:14:43,20260414100050490,8,Big,Red
2026-04-14 10:14:43,20260414100050491,9,Big,Green
2026-04-14 10:14:43,20260414100050492,1,Small,Green
2026-04-14 10:14:43,20260414100050493,5,Big,Green+Violet
2026-04-14 10:14:43,20260414100050494,9,Big,Green
2026-04-14 10:14:43,20260414100050495,1,Small,Green
2026-04-14 10:14:43,20260414100050496,2,Small,Red
2026-04-14 10:14:43,20260414100050497,4,Small,Red
2026-04-14 10:14:43,20260414100050498,9,Big,Green
2026-04-14 10:14:43,20260414100050499,0,Small,Red+Violet
2026-04-14 10:14:41,20260414100050500,2,Small,Red
2026-04-14 10:14:41,20260414100050501,5,Big,Green+Violet
2026-04-14 10:14:41,20260414100050502,4,Small,Red
2026-04-14 10:14:41,20260414100050503,0,Small,Red+Violet
2026-04-14 10:14:41,20260414100050504,2,Small,Red
2026-04-14 10:14:41,20260414100050505,1,Small,Green
2026-04-14 10:14:41,20260414100050506,9,Big,Green
2026-04-14 10:14:41,20260414100050507,0,Small,Red+Violet
2026-04-14 10:14:41,20260414100050508,6,Big,Red
2026-04-14 10:14:41,20260414100050509,9,Big,Green
2026-04-14 10:14:40,20260414100050510,2,Small,Red
2026-04-14 10:14:40,20260414100050511,6,Big,Red
2026-04-14 10:14:40,20260414100050512,5,Big,Green+Violet
2026-04-14 10:14:40,20260414100050513,9,Big,Green
2026-04-14 10:14:40,20260414100050514,4,Small,Red
2026-04-14 10:14:40,20260414100050515,1,Small,Green
2026-04-14 10:14:40,20260414100050516,5,Big,Green+Violet
2026-04-14 10:14:40,20260414100050517,4,Small,Red
2026-04-14 10:14:40,20260414100050518,3,Small,Green
2026-04-14 10:14:40,20260414100050519,7,Big,Green
2026-04-14 10:14:38,20260414100050520,3,Small,Green
2026-04-14 10:14:38,20260414100050521,5,Big,Green+Violet
2026-04-14 10:14:38,20260414100050522,1,Small,Green
2026-04-14 10:14:38,20260414100050523,4,Small,Red
2026-04-14 10:14:38,20260414100050524,3,Small,Green
2026-04-14 10:14:38,20260414100050525,8,Big,Red
2026-04-14 10:14:38,20260414100050526,1,Small,Green
